method,acc_mean,acc_std,kappa_mean,kappa_std,pearson_mean,pearson_std,spearman_mean,spearman_std,sens_mean,sens_std,spec_mean,spec_std
"hybrid-equal (a=0.6, rotating)",0.8463201610474425,0.034176528519251,0.8893150254011484,0.0178175945810476,0.9554579417269402,0.0075218551758902,0.9345751607590252,0.0226123824835234,0.8751106894370649,0.0756646504945812,0.9651568803622078,0.0181510421322538
hybrid-block (rotating),0.8127443054829047,0.0338960367505584,0.8428050516762781,0.0328325554652628,0.9233504687944066,0.0110863644419358,0.9211658971035048,0.0191499822438577,0.7818153067678683,0.1425560331318371,0.9620527456265524,0.0274478956983191
fixed-5 (no rotation),0.7686528127823482,0.0,0.8501372388123056,0.0,0.9614823388602716,0.0,0.9729171771486318,0.0,0.9582542694497154,0.0,0.9284921515776122,0.0
random-5 (no core),0.8494026012452947,0.0237935987520907,0.8809746604700048,0.0219621033140213,0.9458195593986956,0.0135866701498973,0.9148329243742702,0.0399636038812731,0.8070163549290682,0.1084583377524281,0.9766040588143016,0.016116575668233
PHQ-8,0.989538256693138,0.0,0.991860723928401,0.0,0.997841952384151,0.0,0.9994058461356888,0.0,0.9691650853889944,0.0,1.0,0.0
PHQ-2 (screen >=3),,0.0,,0.0,0.8342572874129909,0.0,0.7539959901076467,0.0,0.6774193548387096,0.0,0.9581945985941548,0.0
